_class,Username,page,timestamp,videoId,round,component,componentValue,userId
de.tum.rs.dao.Interaction,Camilla,Video,1714174623745,UWTifmaDn5w,7,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174625443,UWTifmaDn5w,7,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174629330,UWTifmaDn5w,7,'...' button,Submit,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174629330,UWTifmaDn5w,7,'...' button: Dislike reasons,"[""Too much similar content""]",Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174629330,UWTifmaDn5w,7,'...' button: Five-star rating,4,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174635118,29jKH4Sxa_Q,7,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174650473,29jKH4Sxa_Q,7,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174651831,29jKH4Sxa_Q,7,'...' button,Submit,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174651831,29jKH4Sxa_Q,7,'...' button: Five-star rating,5,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174666609,wG_3GOHJMz4,7,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174696352,4-Uixge1tYg,8,Dislike button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174697174,4-Uixge1tYg,8,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174702708,4-Uixge1tYg,8,'...' button,Submit,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174702708,4-Uixge1tYg,8,'...' button: Five-star rating,1,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174702708,4-Uixge1tYg,8,'...' button: Dislike reasons,"[""Not interested in topics""]",Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174711551,4NRhh20_DcA,8,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174720083,vzV6cCXEfYU,8,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174720083,vzV6cCXEfYU,8,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174805219,Ug33QU9Lfvc,9,Dislike button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174805219,Ug33QU9Lfvc,9,Dislike button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174805797,Ug33QU9Lfvc,9,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174805797,Ug33QU9Lfvc,9,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174808555,Ug33QU9Lfvc,9,'...' button: Five-star rating,1,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174808555,Ug33QU9Lfvc,9,'...' button: Dislike reasons,"[""Dislike the creator""]",Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174808555,Ug33QU9Lfvc,9,'...' button: Dislike reasons,"[""Dislike the creator""]",Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174808555,Ug33QU9Lfvc,9,'...' button: Five-star rating,1,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174808559,Ug33QU9Lfvc,9,'...' button,Submit,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174826646,OnXgX4keLBI,9,Dislike button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174827296,OnXgX4keLBI,9,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174830055,OnXgX4keLBI,9,'...' button: Five-star rating,1,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174830055,OnXgX4keLBI,9,'...' button: Dislike reasons,"[""Dislike the creator""]",Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174830055,OnXgX4keLBI,9,'...' button,Submit,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174862969,V5R1HaeNWkk,9,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174864562,V5R1HaeNWkk,9,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174865934,V5R1HaeNWkk,9,'...' button,Submit,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174865934,V5R1HaeNWkk,9,'...' button: Five-star rating,5,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174958315,488Muo7287U,10,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174976993,n5Z2CyANbMw,10,Like button,,Camilla
de.tum.rs.dao.Interaction,Doraemon,Video,1714236744008,e3bDmAFvIJ0,1,'...' button,Open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236751478,e3bDmAFvIJ0,1,'...' button,Cancel,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236773828,wREL_YSOWgQ,1,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236799910,L7SAJBXrOhw,1,Video: Info button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236803058,L7SAJBXrOhw,1,Info Button: Explaination,open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236862207,sDJ-oUbzcRE,1,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236862207,sDJ-oUbzcRE,1,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236862207,sDJ-oUbzcRE,1,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236870304,Zx29YHAlAsk,1,Like button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236870304,Zx29YHAlAsk,1,Like button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236870304,Zx29YHAlAsk,1,Like button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714236903551,sAdj7rTxBw4,1,Dislike button,,Doraemon
